2023-12-11 04:07:59.752 [INFO ] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-11 04:10:22.785 [INFO ] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-11 04:33:06.581 [%PARSER_ERROR[coloredLevel]] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-11 04:33:59.886 [%PARSER_ERROR[coloredLevel]] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-11 04:35:02.342 [%PARSER_ERROR[coloredLevel]] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-11 04:35:49.232 [%PARSER_ERROR[coloredLevel]] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-11 04:36:28.907 [%PARSER_ERROR[coloredLevel]] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-11 04:37:20.341 [%PARSER_ERROR[coloredLevel]] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-11 04:44:02.523 [INFO ] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-12 17:47:48.062 [INFO ] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-12 17:51:45.592 [INFO ] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-12 17:52:40.500 [INFO ] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-12 17:53:11.076 [INFO ] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/LogInForm.fxml
2023-12-12 17:53:21.697 [INFO ] [JavaFX Application Thread] com.library.frontend.utils.Form - Form loaded successfully: /views/RegisterForm.fxml
2023-12-12 17:53:42.048 [DEBUG] [JavaFX Application Thread] o.h.i.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.boot.beanvalidation.BeanValidationIntegrator].
2023-12-12 17:53:42.054 [DEBUG] [JavaFX Application Thread] o.h.i.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2023-12-12 17:53:42.089 [INFO ] [JavaFX Application Thread] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.9.Final
2023-12-12 17:53:42.090 [DEBUG] [JavaFX Application Thread] org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2023-12-12 17:53:42.091 [INFO ] [JavaFX Application Thread] org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-12-12 17:53:42.119 [DEBUG] [JavaFX Application Thread] o.h.b.j.i.s.LocalXmlResourceResolver - Checking public/system identifiers `-//Hibernate/Hibernate Configuration DTD 3.0//EN`/`http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd` as DTD references
2023-12-12 17:53:42.124 [DEBUG] [JavaFX Application Thread] o.h.b.c.internal.JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2023-12-12 17:53:42.294 [DEBUG] [JavaFX Application Thread] org.hibernate.cfg.Configuration - Building session factory using internal StandardServiceRegistryBuilder
2023-12-12 17:53:42.297 [DEBUG] [JavaFX Application Thread] org.hibernate.cfg.Configuration - Building session factory using provided StandardServiceRegistry
2023-12-12 17:53:42.307 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Ignoring CDI for resolving IdentifierGenerator instances as extended or delayed CDI support was enabled
2023-12-12 17:53:42.310 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2023-12-12 17:53:42.311 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2023-12-12 17:53:42.311 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2023-12-12 17:53:42.312 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2023-12-12 17:53:42.312 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2023-12-12 17:53:42.313 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2023-12-12 17:53:42.314 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2023-12-12 17:53:42.314 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2023-12-12 17:53:42.315 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2023-12-12 17:53:42.315 [DEBUG] [JavaFX Application Thread] org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
